,respcolor,stimcolor,trialnum,subject,stimword,reaction_time
1922,Y,Y,78.0,156869.0,Y,992.0
1923,B,B,79.0,156869.0,B,1280.0
1924,Y,Y,80.0,156869.0,Y,1160.0
1925,B,B,81.0,156869.0,B,1039.0
1926,G,G,82.0,156869.0,G,976.0
1927,B,B,83.0,156869.0,B,1256.0
1928,G,G,84.0,156869.0,G,728.0
1929,Y,Y,85.0,156869.0,Y,1008.0
1930,R,R,86.0,156869.0,R,440.0
1931,Y,Y,87.0,156869.0,Y,960.0
1932,R,R,88.0,156869.0,R,807.0
1933,G,G,89.0,156869.0,G,1120.0
1934,Y,Y,90.0,156869.0,Y,1008.0
1935,G,G,1.0,156870.0,Y,3844.0
1936,R,R,2.0,156870.0,B,3992.0
1937,G,G,3.0,156870.0,R,1616.0
1938,B,B,4.0,156870.0,Y,1408.0
1939,R,G,5.0,156870.0,R,2304.0
1940,R,R,6.0,156870.0,B,2496.0
1941,Y,Y,7.0,156870.0,R,2624.0
1942,G,G,8.0,156870.0,B,2464.0
1943,Y,B,9.0,156870.0,Y,3200.0
1944,B,B,11.0,156870.0,Y,1816.0
1945,R,R,12.0,156870.0,B,2224.0
1946,G,Y,13.0,156870.0,G,1968.0
1947,B,B,14.0,156870.0,Y,2976.0
1948,R,R,15.0,156870.0,B,2320.0
1949,G,G,16.0,156870.0,Y,2120.0
1950,Y,Y,17.0,156870.0,B,2632.0
1951,R,R,18.0,156870.0,G,2592.0
1952,G,G,19.0,156870.0,R,1943.0
1953,Y,Y,20.0,156870.0,G,1935.0
1954,R,R,21.0,156870.0,B,2472.0
1955,B,B,22.0,156870.0,R,1832.0
1956,R,R,23.0,156870.0,B,1695.0
1957,B,B,24.0,156870.0,Y,3319.0
1958,Y,Y,25.0,156870.0,G,3839.0
1959,R,R,26.0,156870.0,B,2087.0
1960,B,B,27.0,156870.0,G,2200.0
1961,G,G,28.0,156870.0,Y,1615.0
1962,Y,Y,29.0,156870.0,B,2031.0
1963,B,B,30.0,156870.0,G,1599.0
1964,G,G,31.0,156870.0,R,1329.0
1965,B,B,32.0,156870.0,Y,1295.0
1966,R,R,33.0,156870.0,G,1240.0
1967,Y,Y,34.0,156870.0,R,1943.0
1968,G,G,35.0,156870.0,Y,2944.0
1969,R,R,36.0,156870.0,B,1952.0
1970,G,G,37.0,156870.0,R,2984.0
1971,R,R,38.0,156870.0,B,1631.0
1972,G,G,39.0,156870.0,Y,2640.0
1973,Y,Y,40.0,156870.0,G,2240.0
1974,G,G,41.0,156870.0,Y,1848.0
1975,B,B,42.0,156870.0,R,2464.0
1976,G,G,43.0,156870.0,Y,4208.0
1977,R,R,44.0,156870.0,G,1624.0
1978,G,G,45.0,156870.0,R,1792.0
1979,Y,Y,46.0,156870.0,Y,2149.0
1980,G,G,47.0,156870.0,G,1712.0
1981,B,B,48.0,156870.0,B,1583.0
1982,Y,Y,49.0,156870.0,Y,1505.0
1983,B,B,50.0,156870.0,B,1415.0
1984,R,R,51.0,156870.0,R,1128.0
1985,G,G,52.0,156870.0,G,1048.0
1986,B,B,53.0,156870.0,B,1232.0
1987,G,G,54.0,156870.0,G,1175.0
1988,Y,Y,55.0,156870.0,Y,1089.0
1989,R,R,56.0,156870.0,R,1000.0
1990,Y,Y,57.0,156870.0,Y,959.0
1991,G,G,58.0,156870.0,G,1096.0
1992,R,R,59.0,156870.0,R,984.0
1993,G,G,60.0,156870.0,G,983.0
1994,Y,Y,61.0,156870.0,Y,1232.0
1995,B,B,62.0,156870.0,B,1368.0
1996,Y,Y,63.0,156870.0,Y,1704.0
1997,B,B,64.0,156870.0,B,968.0
1998,G,G,65.0,156870.0,G,1056.0
1999,Y,Y,66.0,156870.0,Y,960.0
2000,B,B,67.0,156870.0,B,1072.0
2001,Y,Y,68.0,156870.0,Y,984.0
2002,B,B,69.0,156870.0,B,1584.0
2003,G,G,70.0,156870.0,G,536.0
2004,B,B,71.0,156870.0,B,1184.0
2005,R,R,72.0,156870.0,R,576.0
2006,B,B,73.0,156870.0,B,848.0
2007,G,G,74.0,156870.0,G,1168.0
2008,R,R,75.0,156870.0,R,872.0
2009,Y,Y,76.0,156870.0,Y,928.0
2010,B,B,77.0,156870.0,B,1208.0
2011,Y,Y,78.0,156870.0,Y,992.0
2012,B,B,79.0,156870.0,B,1280.0
2013,Y,Y,80.0,156870.0,Y,1160.0
2014,B,B,81.0,156870.0,B,1039.0
2015,G,G,82.0,156870.0,G,976.0
2016,B,B,83.0,156870.0,B,1256.0
2017,G,G,84.0,156870.0,G,728.0
2018,Y,Y,85.0,156870.0,Y,1008.0
2019,R,R,86.0,156870.0,R,440.0
2020,Y,Y,87.0,156870.0,Y,960.0
2021,R,R,88.0,156870.0,R,807.0
2022,G,G,89.0,156870.0,G,1120.0
2023,Y,Y,90.0,156870.0,Y,1008.0
2024,G,G,1.0,156871.0,Y,3844.0
2025,R,R,2.0,156871.0,B,3992.0
2026,G,G,3.0,156871.0,R,1616.0
2027,B,B,4.0,156871.0,Y,1408.0
2028,R,G,5.0,156871.0,R,2304.0
2029,R,R,6.0,156871.0,B,2496.0
2030,Y,Y,7.0,156871.0,R,2624.0
2031,G,G,8.0,156871.0,B,2464.0
2032,Y,B,9.0,156871.0,Y,3200.0
2033,B,B,11.0,156871.0,Y,1816.0
2034,R,R,12.0,156871.0,B,2224.0
2035,G,Y,13.0,156871.0,G,1968.0
2036,B,B,14.0,156871.0,Y,2976.0
2037,R,R,15.0,156871.0,B,2320.0
2038,G,G,16.0,156871.0,Y,2120.0
2039,Y,Y,17.0,156871.0,B,2632.0
2040,R,R,18.0,156871.0,G,2592.0
2041,G,G,19.0,156871.0,R,1943.0
2042,Y,Y,20.0,156871.0,G,1935.0
2043,R,R,21.0,156871.0,B,2472.0
2044,B,B,22.0,156871.0,R,1832.0
2045,R,R,23.0,156871.0,B,1695.0
2046,B,B,24.0,156871.0,Y,3319.0
2047,Y,Y,25.0,156871.0,G,3839.0
2048,R,R,26.0,156871.0,B,2087.0
2049,B,B,27.0,156871.0,G,2200.0
2050,G,G,28.0,156871.0,Y,1615.0
2051,Y,Y,29.0,156871.0,B,2031.0
2052,B,B,30.0,156871.0,G,1599.0
2053,G,G,31.0,156871.0,R,1329.0
2054,B,B,32.0,156871.0,Y,1295.0
2055,R,R,33.0,156871.0,G,1240.0
2056,Y,Y,34.0,156871.0,R,1943.0
2057,G,G,35.0,156871.0,Y,2944.0
2058,R,R,36.0,156871.0,B,1952.0
2059,G,G,37.0,156871.0,R,2984.0
2060,R,R,38.0,156871.0,B,1631.0
2061,G,G,39.0,156871.0,Y,2640.0
2062,Y,Y,40.0,156871.0,G,2240.0
2063,G,G,41.0,156871.0,Y,1848.0
2064,B,B,42.0,156871.0,R,2464.0
2065,G,G,43.0,156871.0,Y,4208.0
2066,R,R,44.0,156871.0,G,1624.0
2067,G,G,45.0,156871.0,R,1792.0
2068,Y,Y,46.0,156871.0,Y,2149.0
2069,G,G,47.0,156871.0,G,1712.0
2070,B,B,48.0,156871.0,B,1583.0
2071,Y,Y,49.0,156871.0,Y,1505.0
2072,B,B,50.0,156871.0,B,1415.0
2073,R,R,51.0,156871.0,R,1128.0
2074,G,G,52.0,156871.0,G,1048.0
2075,B,B,53.0,156871.0,B,1232.0
2076,G,G,54.0,156871.0,G,1175.0
2077,Y,Y,55.0,156871.0,Y,1089.0
2078,R,R,56.0,156871.0,R,1000.0
2079,Y,Y,57.0,156871.0,Y,959.0
2080,G,G,58.0,156871.0,G,1096.0
2081,R,R,59.0,156871.0,R,984.0
2082,G,G,60.0,156871.0,G,983.0
2083,Y,Y,61.0,156871.0,Y,1232.0
2084,B,B,62.0,156871.0,B,1368.0
2085,Y,Y,63.0,156871.0,Y,1704.0
2086,B,B,64.0,156871.0,B,968.0
2087,G,G,65.0,156871.0,G,1056.0
2088,Y,Y,66.0,156871.0,Y,960.0
2089,B,B,67.0,156871.0,B,1072.0
2090,Y,Y,68.0,156871.0,Y,984.0
2091,B,B,69.0,156871.0,B,1584.0
2092,G,G,70.0,156871.0,G,536.0
2093,B,B,71.0,156871.0,B,1184.0
2094,R,R,72.0,156871.0,R,576.0
2095,B,B,73.0,156871.0,B,848.0
2096,G,G,74.0,156871.0,G,1168.0
2097,R,R,75.0,156871.0,R,872.0
2098,Y,Y,76.0,156871.0,Y,928.0
2099,B,B,77.0,156871.0,B,1208.0
2100,Y,Y,78.0,156871.0,Y,992.0
2101,B,B,79.0,156871.0,B,1280.0
2102,Y,Y,80.0,156871.0,Y,1160.0
2103,B,B,81.0,156871.0,B,1039.0
2104,G,G,82.0,156871.0,G,976.0
2105,B,B,83.0,156871.0,B,1256.0
2106,G,G,84.0,156871.0,G,728.0
2107,Y,Y,85.0,156871.0,Y,1008.0
2108,R,R,86.0,156871.0,R,440.0
2109,Y,Y,87.0,156871.0,Y,960.0
2110,R,R,88.0,156871.0,R,807.0
2111,G,G,89.0,156871.0,G,1120.0
2112,Y,Y,90.0,156871.0,Y,1008.0
2113,R,B,2.0,156872.0,Y,2984.0
2114,G,Y,3.0,156872.0,G,2944.0
2115,G,B,4.0,156872.0,Y,3040.0
2116,Y,Y,7.0,156872.0,B,4600.0
2117,B,B,8.0,156872.0,Y,2032.0
2118,G,G,9.0,156872.0,R,2320.0
2119,Y,Y,10.0,156872.0,B,2312.0
2120,R,R,11.0,156872.0,Y,2424.0
2121,B,B,12.0,156872.0,R,3968.0
2122,G,G,13.0,156872.0,B,2488.0
2123,Y,Y,14.0,156872.0,R,2872.0
2124,G,G,15.0,156872.0,B,3048.0
2125,Y,Y,16.0,156872.0,R,2840.0
2126,G,G,17.0,156872.0,Y,2336.0
2127,Y,Y,18.0,156872.0,B,2456.0
2128,R,R,19.0,156872.0,Y,1767.0
2129,B,B,20.0,156872.0,G,1976.0
2130,Y,Y,21.0,156872.0,R,2024.0
2131,B,B,22.0,156872.0,Y,3704.0
2132,G,G,23.0,156872.0,R,1656.0
2133,B,B,24.0,156872.0,Y,1464.0
2134,Y,Y,25.0,156872.0,G,3095.0
2135,B,B,26.0,156872.0,R,2233.0
2136,G,G,27.0,156872.0,Y,2224.0
2137,R,R,28.0,156872.0,B,2151.0
2138,G,G,29.0,156872.0,Y,2112.0
2139,B,B,30.0,156872.0,G,1256.0
2140,R,R,31.0,156872.0,Y,1472.0
2141,B,B,32.0,156872.0,G,1768.0
2142,Y,Y,33.0,156872.0,B,2128.0
2143,B,B,34.0,156872.0,G,2287.0
2144,G,G,35.0,156872.0,B,1391.0
2145,B,B,36.0,156872.0,R,2175.0
2146,R,R,37.0,156872.0,B,1552.0
2147,B,B,38.0,156872.0,R,1928.0
2148,G,G,39.0,156872.0,B,1176.0
2149,R,R,40.0,156872.0,Y,3216.0
2150,G,G,41.0,156872.0,R,2024.0
2151,Y,Y,42.0,156872.0,B,2688.0
2152,B,B,43.0,156872.0,G,1664.0
2153,Y,Y,44.0,156872.0,R,3088.0
2154,B,B,45.0,156872.0,Y,2272.0
2155,G,G,46.0,156872.0,G,3989.0
2156,R,R,47.0,156872.0,R,2424.0
2157,G,G,48.0,156872.0,G,1856.0
2158,Y,Y,49.0,156872.0,Y,1880.0
2159,G,G,50.0,156872.0,G,2048.0
2160,B,B,51.0,156872.0,B,1776.0
2161,R,R,52.0,156872.0,R,2040.0
2162,B,B,53.0,156872.0,B,1920.0
2163,Y,Y,54.0,156872.0,Y,1792.0
2164,B,B,55.0,156872.0,B,1752.0
2165,G,G,56.0,156872.0,G,1456.0
2166,Y,Y,57.0,156872.0,Y,1520.0
2167,G,G,58.0,156872.0,G,2136.0
2168,R,R,59.0,156872.0,R,1576.0
2169,G,G,60.0,156872.0,G,1464.0
2170,Y,Y,61.0,156872.0,Y,1520.0
2171,G,G,62.0,156872.0,G,2240.0
2172,Y,Y,63.0,156872.0,Y,1864.0
2173,R,R,64.0,156872.0,R,1616.0
2174,B,B,65.0,156872.0,B,2208.0
2175,Y,Y,66.0,156872.0,Y,1504.0
2176,B,B,67.0,156872.0,B,2200.0
2177,G,G,68.0,156872.0,G,1384.0
2178,Y,Y,69.0,156872.0,Y,1480.0
2179,G,G,70.0,156872.0,G,1808.0
2180,Y,Y,71.0,156872.0,Y,2008.0
2181,B,B,72.0,156872.0,B,1944.0
2182,G,G,73.0,156872.0,G,1760.0
2183,B,B,74.0,156872.0,B,1440.0
2184,G,G,75.0,156872.0,G,1552.0
2185,B,B,76.0,156872.0,B,1624.0
2186,Y,Y,77.0,156872.0,Y,1360.0
2187,R,R,78.0,156872.0,R,1376.0
2188,G,G,79.0,156872.0,G,1512.0
2189,B,B,80.0,156872.0,B,1680.0
2190,R,R,81.0,156872.0,R,1496.0
2191,G,G,82.0,156872.0,G,2056.0
2192,R,R,83.0,156872.0,R,1568.0
2193,G,G,84.0,156872.0,G,2008.0
2194,R,R,85.0,156872.0,R,1248.0
2195,Y,Y,86.0,156872.0,Y,1632.0
2196,G,G,87.0,156872.0,G,2016.0
2197,R,R,88.0,156872.0,R,1472.0
2198,G,G,89.0,156872.0,G,1799.0
2199,Y,Y,90.0,156872.0,Y,1471.0
2200,G,G,1.0,156873.0,Y,3844.0
2201,R,R,2.0,156873.0,B,3992.0
2202,G,G,3.0,156873.0,R,1616.0
2203,B,B,4.0,156873.0,Y,1408.0
2204,R,G,5.0,156873.0,R,2304.0
2205,R,R,6.0,156873.0,B,2496.0
2206,Y,Y,7.0,156873.0,R,2624.0
2207,G,G,8.0,156873.0,B,2464.0
2208,Y,B,9.0,156873.0,Y,3200.0
2209,B,B,11.0,156873.0,Y,1816.0
2210,R,R,12.0,156873.0,B,2224.0
2211,G,Y,13.0,156873.0,G,1968.0
2212,B,B,14.0,156873.0,Y,2976.0
2213,R,R,15.0,156873.0,B,2320.0
2214,G,G,16.0,156873.0,Y,2120.0
2215,Y,Y,17.0,156873.0,B,2632.0
2216,R,R,18.0,156873.0,G,2592.0
2217,G,G,19.0,156873.0,R,1943.0
2218,Y,Y,20.0,156873.0,G,1935.0
2219,R,R,21.0,156873.0,B,2472.0
2220,B,B,22.0,156873.0,R,1832.0
2221,R,R,23.0,156873.0,B,1695.0
2222,B,B,24.0,156873.0,Y,3319.0
2223,Y,Y,25.0,156873.0,G,3839.0
2224,R,R,26.0,156873.0,B,2087.0
2225,B,B,27.0,156873.0,G,2200.0
2226,G,G,28.0,156873.0,Y,1615.0
2227,Y,Y,29.0,156873.0,B,2031.0
2228,B,B,30.0,156873.0,G,1599.0
2229,G,G,31.0,156873.0,R,1329.0
2230,B,B,32.0,156873.0,Y,1295.0
2231,R,R,33.0,156873.0,G,1240.0
2232,Y,Y,34.0,156873.0,R,1943.0
2233,G,G,35.0,156873.0,Y,2944.0
2234,R,R,36.0,156873.0,B,1952.0
2235,G,G,37.0,156873.0,R,2984.0
2236,R,R,38.0,156873.0,B,1631.0
2237,G,G,39.0,156873.0,Y,2640.0
2238,Y,Y,40.0,156873.0,G,2240.0
2239,G,G,41.0,156873.0,Y,1848.0
2240,B,B,42.0,156873.0,R,2464.0
2241,G,G,43.0,156873.0,Y,4208.0
2242,R,R,44.0,156873.0,G,1624.0
2243,G,G,45.0,156873.0,R,1792.0
2244,Y,Y,46.0,156873.0,Y,2149.0
2245,G,G,47.0,156873.0,G,1712.0
2246,B,B,48.0,156873.0,B,1583.0
2247,Y,Y,49.0,156873.0,Y,1505.0
2248,B,B,50.0,156873.0,B,1415.0
2249,R,R,51.0,156873.0,R,1128.0
2250,G,G,52.0,156873.0,G,1048.0
2251,B,B,53.0,156873.0,B,1232.0
2252,G,G,54.0,156873.0,G,1175.0
2253,Y,Y,55.0,156873.0,Y,1089.0
2254,R,R,56.0,156873.0,R,1000.0
2255,Y,Y,57.0,156873.0,Y,959.0
2256,G,G,58.0,156873.0,G,1096.0
2257,R,R,59.0,156873.0,R,984.0
2258,G,G,60.0,156873.0,G,983.0
2259,Y,Y,61.0,156873.0,Y,1232.0
2260,B,B,62.0,156873.0,B,1368.0
2261,Y,Y,63.0,156873.0,Y,1704.0
2262,B,B,64.0,156873.0,B,968.0
2263,G,G,65.0,156873.0,G,1056.0
2264,Y,Y,66.0,156873.0,Y,960.0
2265,B,B,67.0,156873.0,B,1072.0
2266,Y,Y,68.0,156873.0,Y,984.0
2267,B,B,69.0,156873.0,B,1584.0
2268,G,G,70.0,156873.0,G,536.0
2269,B,B,71.0,156873.0,B,1184.0
2270,R,R,72.0,156873.0,R,576.0
2271,B,B,73.0,156873.0,B,848.0
2272,G,G,74.0,156873.0,G,1168.0
2273,R,R,75.0,156873.0,R,872.0
2274,Y,Y,76.0,156873.0,Y,928.0
2275,B,B,77.0,156873.0,B,1208.0
2276,Y,Y,78.0,156873.0,Y,992.0
2277,B,B,79.0,156873.0,B,1280.0
2278,Y,Y,80.0,156873.0,Y,1160.0
2279,B,B,81.0,156873.0,B,1039.0
2280,G,G,82.0,156873.0,G,976.0
2281,B,B,83.0,156873.0,B,1256.0
2282,G,G,84.0,156873.0,G,728.0
2283,Y,Y,85.0,156873.0,Y,1008.0
2284,R,R,86.0,156873.0,R,440.0
2285,Y,Y,87.0,156873.0,Y,960.0
2286,R,R,88.0,156873.0,R,807.0
2287,G,G,89.0,156873.0,G,1120.0
2288,Y,Y,90.0,156873.0,Y,1008.0
2289,G,G,1.0,156874.0,Y,3844.0
2290,R,R,2.0,156874.0,B,3992.0
2291,G,G,3.0,156874.0,R,1616.0
2292,B,B,4.0,156874.0,Y,1408.0
2293,R,G,5.0,156874.0,R,2304.0
2294,R,R,6.0,156874.0,B,2496.0
2295,Y,Y,7.0,156874.0,R,2624.0
2296,G,G,8.0,156874.0,B,2464.0
2297,Y,B,9.0,156874.0,Y,3200.0
2298,B,B,11.0,156874.0,Y,1816.0
2299,R,R,12.0,156874.0,B,2224.0
2300,G,Y,13.0,156874.0,G,1968.0
2301,B,B,14.0,156874.0,Y,2976.0
2302,R,R,15.0,156874.0,B,2320.0
2303,G,G,16.0,156874.0,Y,2120.0
2304,Y,Y,17.0,156874.0,B,2632.0
2305,R,R,18.0,156874.0,G,2592.0
2306,G,G,19.0,156874.0,R,1943.0
2307,Y,Y,20.0,156874.0,G,1935.0
2308,R,R,21.0,156874.0,B,2472.0
2309,B,B,22.0,156874.0,R,1832.0
2310,R,R,23.0,156874.0,B,1695.0
2311,B,B,24.0,156874.0,Y,3319.0
2312,Y,Y,25.0,156874.0,G,3839.0
2313,R,R,26.0,156874.0,B,2087.0
2314,B,B,27.0,156874.0,G,2200.0
2315,G,G,28.0,156874.0,Y,1615.0
2316,Y,Y,29.0,156874.0,B,2031.0
2317,B,B,30.0,156874.0,G,1599.0
2318,G,G,31.0,156874.0,R,1329.0
2319,B,B,32.0,156874.0,Y,1295.0
2320,R,R,33.0,156874.0,G,1240.0
2321,Y,Y,34.0,156874.0,R,1943.0
2322,G,G,35.0,156874.0,Y,2944.0
2323,R,R,36.0,156874.0,B,1952.0
2324,G,G,37.0,156874.0,R,2984.0
2325,R,R,38.0,156874.0,B,1631.0
2326,G,G,39.0,156874.0,Y,2640.0
2327,Y,Y,40.0,156874.0,G,2240.0
2328,G,G,41.0,156874.0,Y,1848.0
2329,B,B,42.0,156874.0,R,2464.0
2330,G,G,43.0,156874.0,Y,4208.0
2331,R,R,44.0,156874.0,G,1624.0
2332,G,G,45.0,156874.0,R,1792.0
2333,Y,Y,46.0,156874.0,Y,2149.0
2334,G,G,47.0,156874.0,G,1712.0
2335,B,B,48.0,156874.0,B,1583.0
2336,Y,Y,49.0,156874.0,Y,1505.0
2337,B,B,50.0,156874.0,B,1415.0
2338,R,R,51.0,156874.0,R,1128.0
2339,G,G,52.0,156874.0,G,1048.0
2340,B,B,53.0,156874.0,B,1232.0
2341,G,G,54.0,156874.0,G,1175.0
2342,Y,Y,55.0,156874.0,Y,1089.0
2343,R,R,56.0,156874.0,R,1000.0
2344,Y,Y,57.0,156874.0,Y,959.0
2345,G,G,58.0,156874.0,G,1096.0
2346,R,R,59.0,156874.0,R,984.0
2347,G,G,60.0,156874.0,G,983.0
2348,Y,Y,61.0,156874.0,Y,1232.0
2349,B,B,62.0,156874.0,B,1368.0
2350,Y,Y,63.0,156874.0,Y,1704.0
2351,B,B,64.0,156874.0,B,968.0
2352,G,G,65.0,156874.0,G,1056.0
2353,Y,Y,66.0,156874.0,Y,960.0
2354,B,B,67.0,156874.0,B,1072.0
2355,Y,Y,68.0,156874.0,Y,984.0
2356,B,B,69.0,156874.0,B,1584.0
2357,G,G,70.0,156874.0,G,536.0
2358,B,B,71.0,156874.0,B,1184.0
2359,R,R,72.0,156874.0,R,576.0
2360,B,B,73.0,156874.0,B,848.0
2361,G,G,74.0,156874.0,G,1168.0
2362,R,R,75.0,156874.0,R,872.0
2363,Y,Y,76.0,156874.0,Y,928.0
2364,B,B,77.0,156874.0,B,1208.0
2365,Y,Y,78.0,156874.0,Y,992.0
2366,B,B,79.0,156874.0,B,1280.0
2367,Y,Y,80.0,156874.0,Y,1160.0
2368,B,B,81.0,156874.0,B,1039.0
2369,G,G,82.0,156874.0,G,976.0
2370,B,B,83.0,156874.0,B,1256.0
2371,G,G,84.0,156874.0,G,728.0
2372,Y,Y,85.0,156874.0,Y,1008.0
2373,R,R,86.0,156874.0,R,440.0
2374,Y,Y,87.0,156874.0,Y,960.0
2375,R,R,88.0,156874.0,R,807.0
2376,G,G,89.0,156874.0,G,1120.0
2377,Y,Y,90.0,156874.0,Y,1008.0
2378,G,G,3.0,156875.0,Y,4992.0
2379,Y,Y,4.0,156875.0,R,1904.0
2380,R,R,5.0,156875.0,G,5320.0
2381,Y,Y,6.0,156875.0,R,3432.0
2382,B,B,7.0,156875.0,G,3856.0
2383,Y,Y,8.0,156875.0,R,1536.0
2384,B,B,9.0,156875.0,G,1656.0
2385,R,R,10.0,156875.0,B,1872.0
2386,B,B,11.0,156875.0,G,2088.0
2387,G,G,12.0,156875.0,B,5256.0
2388,G,G,14.0,156875.0,B,1552.0
2389,B,B,15.0,156875.0,Y,2208.0
2390,Y,Y,16.0,156875.0,B,1648.0
2391,B,B,17.0,156875.0,G,1752.0
2392,R,R,18.0,156875.0,Y,5344.0
2393,B,B,19.0,156875.0,R,3432.0
2394,R,R,20.0,156875.0,B,1968.0
2395,Y,Y,21.0,156875.0,G,1440.0
2396,R,R,22.0,156875.0,B,1599.0
2397,G,G,23.0,156875.0,R,1711.0
2398,R,R,24.0,156875.0,B,1560.0
2399,B,B,25.0,156875.0,G,2856.0
2400,G,G,26.0,156875.0,Y,1888.0
2401,B,B,27.0,156875.0,R,1512.0
2402,Y,Y,28.0,156875.0,G,1904.0
2403,G,G,29.0,156875.0,B,2799.0
2404,B,B,30.0,156875.0,Y,1648.0
2405,Y,Y,31.0,156875.0,G,1551.0
2406,B,B,32.0,156875.0,R,1360.0
2407,R,R,33.0,156875.0,B,1447.0
2408,B,B,34.0,156875.0,G,3256.0
2409,G,G,35.0,156875.0,Y,3560.0
2410,R,R,36.0,156875.0,G,1615.0
2411,G,G,37.0,156875.0,R,1655.0
2412,Y,Y,38.0,156875.0,G,1599.0
2413,B,B,39.0,156875.0,Y,2455.0
2414,G,G,40.0,156875.0,B,2423.0
2415,B,B,41.0,156875.0,R,1575.0
2416,G,G,42.0,156875.0,Y,2623.0
2417,Y,Y,43.0,156875.0,R,1687.0
2418,G,G,44.0,156875.0,B,1591.0
2419,R,R,45.0,156875.0,Y,2240.0
2420,R,R,47.0,156875.0,R,1424.0
2421,B,B,48.0,156875.0,B,1968.0
2422,R,R,49.0,156875.0,R,1440.0
2423,R,R,51.0,156875.0,R,5760.0
2424,Y,Y,52.0,156875.0,Y,3200.0
2425,R,R,53.0,156875.0,R,1224.0
2426,Y,Y,54.0,156875.0,Y,1104.0
2427,B,B,55.0,156875.0,B,1360.0
2428,G,G,56.0,156875.0,G,2152.0
2429,R,R,57.0,156875.0,R,1248.0
2430,B,B,58.0,156875.0,B,1152.0
2431,G,G,59.0,156875.0,G,1504.0
2432,R,R,60.0,156875.0,R,1592.0
2433,G,G,61.0,156875.0,G,1400.0
2434,R,R,62.0,156875.0,R,1096.0
2435,G,G,63.0,156875.0,G,1016.0
2436,Y,Y,64.0,156875.0,Y,1120.0
2437,R,R,65.0,156875.0,R,2032.0
2438,Y,Y,66.0,156875.0,Y,1072.0
2439,B,B,67.0,156875.0,B,1136.0
2440,R,R,68.0,156875.0,R,1008.0
2441,Y,Y,69.0,156875.0,Y,976.0
2442,B,B,70.0,156875.0,B,992.0
2443,Y,Y,71.0,156875.0,Y,1048.0
2444,G,G,72.0,156875.0,G,1040.0
2445,R,R,73.0,156875.0,R,1080.0
2446,G,G,74.0,156875.0,G,1024.0
2447,B,B,75.0,156875.0,B,1144.0
2448,R,R,76.0,156875.0,R,952.0
2449,G,G,77.0,156875.0,G,1008.0
2450,B,B,78.0,156875.0,B,1264.0
2451,Y,Y,79.0,156875.0,Y,1000.0
2452,B,B,80.0,156875.0,B,968.0
2453,Y,Y,81.0,156875.0,Y,1000.0
2454,R,R,82.0,156875.0,R,1192.0
2455,Y,Y,83.0,156875.0,Y,944.0
2456,B,B,84.0,156875.0,B,936.0
2457,Y,Y,85.0,156875.0,Y,896.0
2458,G,G,86.0,156875.0,G,936.0
2459,Y,Y,87.0,156875.0,Y,944.0
2460,R,R,88.0,156875.0,R,984.0
2461,G,G,89.0,156875.0,G,1096.0
2462,R,R,90.0,156875.0,R,984.0
2463,G,G,3.0,156876.0,Y,4992.0
2464,Y,Y,4.0,156876.0,R,1904.0
2465,R,R,5.0,156876.0,G,5320.0
2466,Y,Y,6.0,156876.0,R,3432.0
2467,B,B,7.0,156876.0,G,3856.0
2468,Y,Y,8.0,156876.0,R,1536.0
2469,B,B,9.0,156876.0,G,1656.0
2470,R,R,10.0,156876.0,B,1872.0
2471,B,B,11.0,156876.0,G,2088.0
2472,G,G,12.0,156876.0,B,5256.0
2473,G,G,14.0,156876.0,B,1552.0
2474,B,B,15.0,156876.0,Y,2208.0
2475,Y,Y,16.0,156876.0,B,1648.0
2476,B,B,17.0,156876.0,G,1752.0
2477,R,R,18.0,156876.0,Y,5344.0
2478,B,B,19.0,156876.0,R,3432.0
2479,R,R,20.0,156876.0,B,1968.0
2480,Y,Y,21.0,156876.0,G,1440.0
2481,R,R,22.0,156876.0,B,1599.0
2482,G,G,23.0,156876.0,R,1711.0
2483,R,R,24.0,156876.0,B,1560.0
2484,B,B,25.0,156876.0,G,2856.0
2485,G,G,26.0,156876.0,Y,1888.0
2486,B,B,27.0,156876.0,R,1512.0
2487,Y,Y,28.0,156876.0,G,1904.0
2488,G,G,29.0,156876.0,B,2799.0
2489,B,B,30.0,156876.0,Y,1648.0
2490,Y,Y,31.0,156876.0,G,1551.0
2491,B,B,32.0,156876.0,R,1360.0
2492,R,R,33.0,156876.0,B,1447.0
2493,B,B,34.0,156876.0,G,3256.0
2494,G,G,35.0,156876.0,Y,3560.0
2495,R,R,36.0,156876.0,G,1615.0
2496,G,G,37.0,156876.0,R,1655.0
2497,Y,Y,38.0,156876.0,G,1599.0
2498,B,B,39.0,156876.0,Y,2455.0
2499,G,G,40.0,156876.0,B,2423.0
2500,B,B,41.0,156876.0,R,1575.0
2501,G,G,42.0,156876.0,Y,2623.0
2502,Y,Y,43.0,156876.0,R,1687.0
2503,G,G,44.0,156876.0,B,1591.0
2504,R,R,45.0,156876.0,Y,2240.0
2505,R,R,47.0,156876.0,R,1424.0
2506,B,B,48.0,156876.0,B,1968.0
2507,R,R,49.0,156876.0,R,1440.0
2508,R,R,51.0,156876.0,R,5760.0
2509,Y,Y,52.0,156876.0,Y,3200.0
2510,R,R,53.0,156876.0,R,1224.0
2511,Y,Y,54.0,156876.0,Y,1104.0
2512,B,B,55.0,156876.0,B,1360.0
